""	"Private"	"Apps"	"Accept"	"Enroll"	"Top10perc"	"Top25perc"	"F.Undergrad"	"P.Undergrad"	"Outstate"	"Room.Board"	"Books"	"Personal"	"PhD"	"Terminal"	"S.F.Ratio"	"perc.alumni"	"Expend"	"Grad.Rate"	"total_undergrads"
"Mount Saint Mary's College"	"Yes"	1321	1159	328	15	36	1243	79	12850	6200	550	900	77	82	12.8	36	8536	80	1322
"Mount Saint Mary College"	"Yes"	1170	695	238	14	48	1170	429	7470	4600	250	1400	74	75	15.3	23	6898	88	1599
"Mount St. Mary's College"	"Yes"	657	537	113	37	90	1039	466	12474	5678	630	1278	53	71	11.9	19	10613	72	1505
"Mount Union College"	"Yes"	1310	1086	458	26	61	1365	144	12250	3530	400	1150	85	87	16.7	35	7215	81	1509
"Mount Vernon Nazarene College"	"Yes"	510	485	334	18	36	1114	94	7400	3346	600	600	57	57	19.8	7	6869	58	1208
"Muhlenberg College"	"Yes"	2519	1836	462	30	61	1656	352	16975	4565	600	850	76	86	12.8	39	10888	83	2008
"Muskingum College"	"Yes"	1109	922	375	24	46	1115	70	13240	3914	600	800	73	85	13.4	27	9333	73	1185
"Nazareth College of Rochester"	"Yes"	947	798	266	36	68	1274	471	10850	5150	550	800	77	93	13.6	24	8797	61	1745
"New Mexico Institute of Mining and Tech."	"No"	787	601	233	40	73	1017	411	5376	3214	600	1100	99	100	13.7	11	9241	34	1428
"Newberry College"	"Yes"	872	722	154	14	36	601	36	10194	2600	500	1500	57	63	11.4	32	5788	83	637
"North Adams State College"	"No"	1563	1005	240	1	19	1380	136	5542	4330	500	1000	65	71	14.2	17	6562	57	1516
"North Carolina Wesleyan College"	"Yes"	812	689	195	7	24	646	84	8242	4230	600	1295	77	77	12.7	11	10090	52	730
"North Central College"	"Yes"	1127	884	308	30	64	1310	766	11718	7398	450	1800	73	87	16.4	33	8871	76	2076
"North Park College"	"Yes"	465	361	176	19	39	879	156	12580	4345	400	970	76	79	13.1	24	10889	74	1035
"Northwest Nazarene College"	"Yes"	616	514	385	29	52	1115	60	9840	2820	450	822	59	59	14.8	20	6261	58	1175
"Northwestern College"	"Yes"	860	811	366	22	56	1040	52	9900	3075	300	1800	68	68	14.9	34	6357	68	1092
"Notre Dame College"	"Yes"	379	324	107	15	37	500	311	9990	4900	400	600	44	47	12.1	26	4948	33	811
"Occidental College"	"Yes"	2324	1319	370	52	81	1686	35	16560	5140	558	1152	91	93	10.5	30	16196	79	1721
"Oglethorpe University"	"Yes"	792	649	186	56	87	769	377	12900	4340	600	4110	91	95	13.1	27	8568	67	1146
"Ohio Wesleyan University"	"Yes"	2190	1700	458	36	65	1780	48	16732	5650	550	550	93	93	12.1	32	12011	75	1828
"Oklahoma Christian University"	"Yes"	776	765	351	22	44	1419	228	6400	3150	500	1900	58	64	16.2	8	6578	45	1647
"Ouachita Baptist University"	"Yes"	910	773	450	31	73	1310	61	6530	2800	500	1500	63	67	13.3	10	6413	65	1371
"Pacific Union College"	"Yes"	940	668	385	20	48	1316	139	11925	3825	630	1926	48	87	12.3	12	9157	69	1455
"Pacific University"	"Yes"	943	849	288	41	71	1041	35	14210	3994	450	1100	76	76	10.9	22	11216	42	1076
"Peru State College"	"No"	701	501	458	10	40	959	457	2580	2624	500	900	48	100	20.1	24	4870	44	1416
"Pfeiffer College"	"Yes"	838	651	159	11	25	654	162	8640	3700	400	1915	62	62	12.2	13	7634	48	816
"Phillips University"	"Yes"	692	576	174	19	50	597	83	10500	3860	600	940	58	64	11.6	19	8990	39	680
"Piedmont College"	"Yes"	663	562	127	20	40	641	63	5640	3620	600	750	89	89	13.2	17	7309	31	704
"Pikeville College"	"Yes"	404	400	169	28	48	797	100	6000	3000	500	500	48	57	13.4	14	5557	61	897
"Pitzer College"	"Yes"	1133	630	220	37	73	750	30	17688	5900	650	850	100	100	10.4	11	14820	73	780
"Polytechnic University"	"Yes"	1132	847	302	58	89	1379	214	16200	4200	436	2486	90	90	10.4	14	14329	62	1593
"Presbyterian College"	"Yes"	1082	832	302	34	63	1133	30	11859	3635	554	1429	80	85	13.4	42	8354	85	1163
"Queens College"	"Yes"	516	392	154	32	62	630	549	11020	4970	610	1900	73	75	14	36	9315	58	1179
"Quincy University"	"Yes"	1025	707	297	22	66	1070	72	10100	4140	450	1080	69	71	16.3	32	6880	80	1142
"Randolph-Macon College"	"Yes"	1771	1325	306	21	46	1071	27	13840	3735	400	900	77	80	10.7	38	11080	74	1098
"Randolph-Macon Woman's College"	"Yes"	696	616	169	35	66	653	56	13970	6110	370	920	88	97	9.2	24	16358	68	709
"Reed College"	"Yes"	1966	1436	327	47	80	1199	61	19960	5490	500	450	90	90	11.8	37	15886	68	1260
"Regis College"	"Yes"	427	385	143	18	38	581	533	12700	5800	450	700	81	85	10.3	37	11758	84	1114
"Rhodes College"	"Yes"	2302	1831	391	58	82	1345	59	15200	4768	550	1500	90	96	10.8	47	13388	77	1404
"Ripon College"	"Yes"	587	501	211	28	52	735	28	15200	4100	350	650	87	90	9.4	49	12472	64	763
"Rivier College"	"Yes"	484	386	141	6	28	590	1196	9870	4860	600	1100	59	59	12.2	19	6744	81	1786
"Roanoke College"	"Yes"	2227	1790	437	27	54	1460	239	13425	4425	450	1200	85	89	13	26	9405	72	1699
"Rockhurst College"	"Yes"	935	858	345	22	50	1127	754	9490	4100	500	1500	60	79	10.7	21	7519	79	1881
"Rocky Mountain College"	"Yes"	560	392	270	11	31	743	118	8734	3362	600	625	56	78	11.3	27	6422	68	861
"Rosary College"	"Yes"	434	321	141	28	53	624	269	10950	4600	550	950	79	82	12.9	30	9264	81	893
"Saint Ambrose University"	"Yes"	897	718	276	12	48	1345	390	10450	4020	500	1500	56	56	14.1	16	7444	70	1735
"Saint Anselm College"	"Yes"	2095	1553	514	15	40	1873	94	12950	5400	450	1120	70	82	14.5	29	6719	97	1967
"Saint Francis College"	"Yes"	1046	824	284	21	45	1223	451	10880	5050	400	1235	64	64	19.3	24	7344	69	1674
"Saint Francis College IN"	"Yes"	213	166	85	13	36	513	247	8670	3820	450	1000	43	78	12.5	4	7440	48	760
"Saint John's University"	"Yes"	933	800	444	18	45	1691	72	12247	4081	500	600	76	85	12	38	9853	70	1763
"Saint Joseph's College IN"	"Yes"	920	684	225	24	42	815	222	11200	4250	600	950	55	60	14.8	19	7360	67	1037
"Saint Joseph College"	"Yes"	292	241	96	20	52	543	712	12200	4600	650	950	87	90	11.2	32	8680	76	1255
"Saint Mary's College"	"Yes"	888	734	393	26	60	1433	27	12730	4514	500	1525	74	95	9.9	31	11165	98	1460
"Saint Mary's College of Minnesota"	"Yes"	876	802	367	14	35	1263	118	10800	3600	400	820	68	74	18.8	19	5081	78	1381
"Saint Mary-of-the-Woods College"	"Yes"	150	130	88	23	50	341	768	10300	4130	500	1700	44	58	10.2	37	9678	75	1109
"Saint Michael's College"	"Yes"	1910	1380	463	16	64	1715	106	13030	5860	500	750	79	88	14.5	34	10190	84	1821
"Saint Vincent College"	"Yes"	700	595	278	19	35	1035	182	10850	3936	500	900	62	64	12.3	31	8534	88	1217
"Salem-Teikyo University"	"Yes"	489	384	120	23	52	700	45	10575	3952	400	620	46	24	13	9	8946	98	745
"Salem College"	"Yes"	335	284	132	28	69	534	216	10475	6300	500	2000	68	68	11.2	46	9599	60	750
"Sarah Lawrence College"	"Yes"	1380	768	263	57	82	1000	105	19300	6694	600	700	89	93	6.1	18	14779	83	1105
"Schreiner College"	"Yes"	584	413	131	19	51	521	99	8955	5900	500	1488	51	56	11.8	23	8545	52	620
"Scripps College"	"Yes"	855	632	139	60	83	569	7	17238	7350	600	800	95	100	8.2	41	18372	73	576
"Seton Hill College"	"Yes"	936	794	197	24	56	752	210	11240	4180	350	2000	71	71	11.2	37	10065	71	962
"Shorter College"	"Yes"	540	445	165	23	70	1115	111	7210	3600	500	2000	62	65	13.2	18	7356	58	1226
"Siena Heights College"	"Yes"	464	419	183	10	31	686	287	9240	3880	475	1090	29	49	7.2	17	9431	47	973
"Simmons College"	"Yes"	1003	782	295	23	53	1144	160	16160	6950	500	1200	74	81	8.9	33	14086	79	1304
"Simpson College"	"Yes"	1016	872	300	27	57	1116	602	11250	4980	550	1400	66	73	15.8	36	7411	70	1718
"Sioux Falls College"	"Yes"	437	400	211	13	35	614	271	8990	3064	500	1700	73	73	14.8	7	7881	48	885
"Southern California College"	"Yes"	385	340	193	18	38	784	127	9520	4124	630	1818	63	65	18.6	11	8219	43	911
"Southwestern Adventist College"	"Yes"	321	318	172	11	27	620	280	7536	3736	430	1651	44	77	13	12	5309	36	900
"Southwestern College"	"Yes"	213	155	75	28	66	504	147	7200	3532	550	1500	56	56	11.8	12	7818	52	651
"Southwestern University"	"Yes"	1244	912	352	44	77	1177	43	11850	4675	600	1050	83	89	11.3	35	12995	67	1220
"Spalding University"	"Yes"	283	201	97	10	45	589	263	8400	2800	600	900	50	56	10.6	40	6860	89	852
"Spelman College"	"Yes"	3713	1237	443	47	83	1971	107	7000	5565	660	2400	73	80	12.5	18	9988	65	2078
"Spring Arbor College"	"Yes"	372	362	181	15	32	1501	353	8600	3550	385	665	48	48	15.4	9	10938	49	1854
"St. Bonaventure University"	"Yes"	1489	1313	375	13	45	1688	131	10456	4927	500	1050	91	91	17.7	32	9828	78	1819
"St. John's College"	"Yes"	323	278	122	31	51	393	4	16150	5450	275	800	63	72	7.2	26	15622	64	397
"St. Lawrence University"	"Yes"	2753	1820	505	31	56	1801	45	18720	5730	650	825	90	94	11.5	38	14980	85	1846
"St. Martin's College"	"Yes"	191	165	63	5	25	494	574	11550	4270	300	500	43	77	14.5	8	9209	40	1068
"St. Mary's College of Maryland"	"No"	1340	695	285	42	73	1315	209	6800	4730	675	1250	84	89	11.6	23	10357	63	1524
"St. Norbert College"	"Yes"	1334	1243	568	30	56	1946	95	12140	4450	425	1100	74	78	15.1	36	8595	88	2041
"St. Paul's College"	"Yes"	651	581	243	8	17	617	34	5000	3650	600	600	45	45	14	8	8426	45	651
"St. Thomas Aquinas College"	"Yes"	861	609	215	10	27	1117	815	8650	5700	500	1750	69	73	16.1	13	6534	67	1932
"Stephens College"	"Yes"	450	405	194	17	34	614	388	13900	5200	450	2150	46	63	10.9	17	9995	59	1002
"Stetson University"	"Yes"	1557	1227	489	37	69	1964	81	12315	4565	600	1365	85	90	12.5	24	10307	73	2045
"Stevens Institute of Technology"	"Yes"	1768	1249	380	51	93	1263	11	16900	5680	450	750	89	89	19	33	12837	79	1274
"Susquehanna University"	"Yes"	2096	1512	465	27	59	1442	166	16130	4710	400	800	83	86	13.9	37	10554	90	1608
"Sweet Briar College"	"Yes"	462	402	146	36	68	527	41	14500	6000	500	600	91	99	6.5	48	18953	61	568
"Tabor College"	"Yes"	257	183	109	19	41	396	38	7850	3410	400	1500	55	70	10	15	7233	53	434
"Talladega College"	"Yes"	4414	1500	335	30	60	908	119	5666	2964	1000	1400	56	58	15.5	7	5970	46	1027
"Taylor University"	"Yes"	1769	1092	437	41	80	1757	81	10965	4000	450	1250	60	61	14.2	32	8294	98	1838
"Tennessee Wesleyan College"	"Yes"	232	182	99	7	29	402	237	7070	3640	400	3158	59	65	8.9	16	6286	36	639
"Texas A&M University at Galveston"	"No"	529	481	243	22	47	1206	134	4860	3122	600	650	103	88	17.4	16	6415	43	1340
"Texas Lutheran College"	"Yes"	497	423	215	27	57	895	429	7850	3410	490	1700	54	58	13.8	24	7002	50	1324
"Texas Wesleyan University"	"Yes"	592	501	279	19	44	1204	392	6400	3484	600	1800	80	83	14.5	10	7936	43	1596
"Thiel College"	"Yes"	1154	951	253	15	31	791	140	11172	4958	700	1350	68	76	11.6	16	9186	60	931
"Tiffin University"	"Yes"	845	734	254	5	21	662	351	7600	3800	600	1200	59	74	19	40	5096	39	1013
"Transylvania University"	"Yes"	759	729	244	57	81	867	51	10900	4450	500	1000	81	91	12.1	41	10219	70	918
"Tri-State University"	"Yes"	1262	1102	276	14	40	978	98	9456	4350	468	1323	53	53	12.8	24	7603	65	1076
"Trinity College CT"	"Yes"	3058	1798	478	46	84	1737	244	18810	5690	500	680	91	96	10.4	48	18034	91	1981
"Trinity College DC"	"Yes"	247	189	100	19	49	309	639	11412	6430	500	900	89	93	8.3	37	11806	96	948
"Trinity College VT"	"Yes"	222	185	91	16	41	484	541	11010	5208	550	500	58	78	10.4	26	9586	78	1025
"Tusculum College"	"Yes"	626	372	145	12	34	983	40	7700	3400	450	800	70	70	21.9	28	4933	52	1023
"Union College KY"	"Yes"	484	384	177	9	45	634	78	7800	2950	500	600	60	88	14.1	9	6864	64	712
"Union College NY"	"Yes"	3495	1712	528	49	84	1915	123	18732	6204	450	1024	94	96	11.5	49	15411	88	2038
"University of Charleston"	"Yes"	682	535	204	22	43	771	611	9500	3540	400	750	26	58	2.5	10	7683	57	1382
"University of Dallas"	"Yes"	681	588	246	44	74	1058	73	10760	6230	500	1200	85	93	13.4	26	8731	63	1131
"University of Dubuque"	"Yes"	576	558	137	11	39	662	131	10430	3620	400	1500	85	98	16.5	18	8767	45	793
"University of Maine at Machias"	"No"	441	369	172	17	45	633	317	6600	3680	600	400	46	46	15.1	4	5935	64	950
"University of Maine at Presque Isle"	"No"	461	381	235	10	40	974	503	6600	3630	400	1675	67	67	15.2	11	6408	35	1477
"University of Minnesota at Morris"	"No"	1458	874	588	56	86	1846	154	9843	3180	600	1500	74	78	14.6	16	6716	51	2000
"University of Mobile"	"Yes"	452	331	269	17	54	1417	301	6150	3680	550	1200	59	63	16.6	4	5412	52	1718
"University of New England"	"Yes"	1209	750	265	19	54	820	159	11450	5045	900	2500	72	75	11.4	13	9718	64	979
"University of Sci. and Arts of Oklahoma"	"No"	285	280	208	21	43	1140	473	3687	1920	600	1800	67	77	23.6	3	3864	43	1613
"University of St. Thomas TX"	"Yes"	374	280	185	45	77	995	408	8550	4050	500	1344	75	75	12.6	17	7237	62	1403
"University of the Arts"	"Yes"	974	704	290	5	22	1145	39	12520	3860	1300	700	16	59	7.5	9	11641	57	1184
"University of the South"	"Yes"	1445	966	326	46	83	1129	24	15350	4080	450	810	89	93	10.3	52	18784	82	1153
"University of Wisconsin-Superior"	"No"	910	910	342	14	53	1434	417	7032	2780	550	1960	75	81	15.2	15	6490	36	1851
"Ursinus College"	"Yes"	1399	1026	308	44	77	1131	17	14900	5160	500	800	82	85	11.6	40	12082	79	1148
"Ursuline College"	"Yes"	325	260	86	21	47	699	717	9600	4202	450	750	39	69	10.5	15	7164	68	1416
"Valley City State University"	"No"	368	344	212	5	27	863	189	4286	2570	600	2000	39	41	14.9	25	4958	40	1052
"Virginia Union University"	"Yes"	1847	1610	453	19	59	1298	67	7384	3494	500	1763	51	67	13.7	8	6757	30	1365
"Virginia Wesleyan College"	"Yes"	1470	900	287	20	49	1130	417	10900	5100	500	550	70	81	15.7	14	7804	68	1547
"Viterbo College"	"Yes"	647	518	271	17	43	1014	387	9140	3365	500	2245	51	65	10.7	31	8050	73	1401
"Voorhees College"	"Yes"	1465	1006	188	10	30	703	20	4450	2522	500	1200	43	43	22.9	3	5861	58	723
"Wabash College"	"Yes"	800	623	256	41	76	801	5	12925	4195	500	635	78	85	9.9	55	14904	72	806
"Wagner College"	"Yes"	1416	1015	417	10	44	1324	117	13500	5800	585	1700	67	78	13.2	23	9006	75	1441
"Walsh University"	"Yes"	1092	890	477	27	92	847	497	8670	4180	500	1450	42	58	11.3	33	5738	68	1344
"Warren Wilson College"	"Yes"	440	311	112	25	49	466	7	10000	3052	400	1100	65	75	11.4	20	9430	63	473
"Wartburg College"	"Yes"	1231	1074	345	34	66	1295	105	11600	3610	400	850	66	91	12.4	37	7735	67	1400
"Washington and Jefferson College"	"Yes"	1305	1100	334	42	64	1098	151	16260	4005	300	500	91	91	12.1	40	10162	86	1249
"Washington and Lee University"	"Yes"	3315	1096	425	68	93	1584	3	13750	4619	680	1115	81	96	9.6	45	15736	90	1587
"Washington College"	"Yes"	1209	942	214	31	60	822	46	15276	5318	500	300	79	86	11.2	37	10830	65	868
"Waynesburg College"	"Yes"	1190	978	324	12	30	1280	61	8840	3620	500	1200	57	58	16.2	26	6563	63	1341
"Webber College"	"Yes"	280	143	79	5	27	327	110	5590	2900	650	1952	53	63	15.1	4	4839	90	437
"Wells College"	"Yes"	318	240	130	40	85	416	19	14900	5550	600	500	93	98	8.3	42	13935	69	435
"Wesley College"	"Yes"	980	807	350	10	25	872	448	9890	4674	500	1350	52	57	14.4	15	6243	84	1320
"West Virginia Wesleyan College"	"Yes"	1566	1400	483	28	55	1509	170	14200	3775	450	1100	58	81	16.4	42	8080	67	1679
"Western Maryland College"	"Yes"	1205	984	278	31	50	1071	98	14510	5340	500	1400	84	91	12.5	39	10026	60	1169
"Westminster College"	"Yes"	996	866	377	29	58	1411	72	12065	3615	430	685	62	78	12.5	41	8596	80	1483
"Westminster College MO"	"Yes"	662	553	184	20	43	665	37	10720	4050	600	1650	66	70	12.5	20	7925	62	702
"Westminster College of Salt Lake City"	"Yes"	917	720	213	21	60	979	743	8820	4050	600	2025	68	83	10.5	34	7170	50	1722
"Westminster College PA"	"Yes"	1738	1373	417	21	55	1335	30	18460	5970	700	850	92	96	13.2	41	22704	71	1365
"Westmont College"	"No"	950	713	351	42	72	1276	9	14320	5304	490	1410	77	77	14.9	17	8837	87	1285
"Wheeling Jesuit College"	"Yes"	903	755	213	15	49	971	305	10500	4545	600	600	66	71	14.1	27	7494	72	1276
"Whitman College"	"Yes"	1861	998	359	45	77	1220	46	16670	4900	750	800	80	83	10.5	51	13198	72	1266
"Whittier College"	"Yes"	1681	1069	344	35	63	1235	30	16249	5699	500	1998	84	92	13.6	29	11778	52	1265
"Whitworth College"	"Yes"	1121	926	372	43	70	1270	160	12660	4500	678	2424	80	80	16.9	20	8328	80	1430
"Willamette University"	"Yes"	1658	1327	395	49	80	1595	159	14800	4620	400	790	91	94	13.3	37	10779	68	1754
"William Jewell College"	"Yes"	663	547	315	32	67	1279	75	10060	2970	500	2600	74	80	11.2	19	7885	59	1354
"William Woods University"	"Yes"	469	435	227	17	39	851	120	10535	4365	550	3700	39	66	12.9	16	7438	52	971
"Williams College"	"Yes"	4186	1245	526	81	96	1988	29	19629	5790	500	1200	94	99	9	64	22014	99	2017
"Wilson College"	"Yes"	167	130	46	16	50	199	676	11428	5084	450	475	67	76	8.3	43	10291	67	875
"Wingate College"	"Yes"	1239	1017	383	10	34	1207	157	7820	3400	550	1550	69	81	13.9	8	7264	91	1364
"Wisconsin Lutheran College"	"Yes"	152	128	75	17	41	282	22	9100	3700	500	1400	48	48	8.5	26	8960	50	304
"Wofford College"	"Yes"	1501	935	273	51	83	1059	34	12680	4150	605	1440	91	92	15.3	42	7875	75	1093
