""	"Private"	"Apps"	"Accept"	"Enroll"	"Top10perc"	"Top25perc"	"F.Undergrad"	"P.Undergrad"	"Outstate"	"Room.Board"	"Books"	"Personal"	"PhD"	"Terminal"	"S.F.Ratio"	"perc.alumni"	"Expend"	"Grad.Rate"	"total_undergrads"
"Seattle University"	"Yes"	2115	1540	494	28	72	2993	347	12825	4375	500	1500	85	85	12.2	16	10175	89	3340
"Seton Hall University"	"Yes"	4576	3565	1000	16	36	4384	1530	12000	6484	650	1000	81	84	14.4	15	10080	64	5914
"Shippensburg University of Penn."	"No"	5818	3281	1116	14	53	5268	300	7844	3504	450	1700	80	83	18.8	13	6719	72	5568
"Siena College"	"Yes"	2961	1932	628	24	68	2669	616	10800	5100	575	1090	71	82	14.1	42	8189	100	3285
"Skidmore College"	"Yes"	4293	2728	591	25	62	2322	263	18710	5970	500	700	87	92	12.7	29	14837	81	2585
"Smith College"	"Yes"	2925	1598	632	51	88	2479	95	18820	6390	500	1050	85	97	10.3	44	21199	90	2574
"South Dakota State University"	"No"	2807	2589	1701	13	37	7000	1103	3811	2190	500	1970	62	65	15	29	5084	67	8103
"Southeast Missouri State University"	"No"	2281	1870	1408	18	43	6553	1246	4680	3540	200	2150	75	76	17.1	8	5916	45	7799
"Southeastern Oklahoma State Univ."	"No"	818	700	447	20	50	2962	651	3738	2619	450	1022	55	59	19.6	9	4444	53	3613
"Southern Illinois University at Edwardsville"	"No"	2540	2195	994	13	40	6063	2550	5472	3598	221	2216	76	81	16.5	8	7498	43	8613
"Southern Methodist University"	"Yes"	4301	3455	1166	41	69	4892	387	12772	5078	576	1802	74	88	13.5	17	12726	72	5279
"Southwest Baptist University"	"Yes"	1093	1093	642	12	32	1770	967	7070	2500	400	1000	52	54	15.9	13	4718	71	2737
"Southwest Missouri State University"	"No"	6118	5254	3204	15	37	13131	3374	4740	2590	500	1360	70	75	19.9	11	4632	56	16505
"Southwest State University"	"No"	1047	938	511	13	33	2091	546	4285	2750	600	1800	58	75	16.5	31	6591	51	2637
"St. John Fisher College"	"Yes"	1368	1064	354	19	51	1687	677	10570	5600	400	800	86	81	14.5	29	7908	66	2364
"St. Mary's College of California"	"Yes"	2643	1611	465	36	80	2615	248	13332	6354	630	1584	88	89	16.1	17	9619	78	2863
"St. Mary's University of San Antonio"	"Yes"	1243	1020	414	33	60	2149	418	8678	3858	700	1736	82	83	16.2	7	7651	72	2567
"Stockton College of New Jersey"	"No"	4019	1579	710	23	65	4365	765	3040	4351	711	1125	78	92	19.5	7	5599	64	5130
"Stonehill College"	"Yes"	3646	2300	585	25	69	2022	926	12170	6172	480	800	79	79	13	30	7495	97	2948
"SUNY at Albany"	"No"	13528	9198	1843	16	61	10168	1231	6550	4355	700	1560	93	96	17.4	16	9075	74	11399
"SUNY at Binghamton"	"No"	14463	6166	1757	60	94	8544	671	6550	4598	700	1000	83	100	18	15	8055	80	9215
"SUNY at Buffalo"	"No"	15039	9649	3087	36	100	13963	3124	6550	4731	708	957	90	97	13.6	15	11177	56	17087
"SUNY at Stony Brook"	"No"	12512	6969	1724	27	66	9744	1351	6550	4712	600	1200	91	96	10.5	7	13705	57	11095
"SUNY College  at Brockport"	"No"	7294	3564	904	7	34	5758	1363	6550	4460	500	705	79	83	19	14	6632	49	7121
"SUNY College  at Oswego"	"No"	8000	4556	1464	17	70	6943	869	6550	4810	500	1500	69	85	22	21	5280	63	7812
"SUNY College at Buffalo"	"No"	5318	3515	1025	8	29	7626	2091	6550	4040	550	1230	71	78	18.7	12	7511	42	9717
"SUNY College at Cortland"	"No"	7888	3519	1036	6	40	5011	346	6550	4680	630	1274	82	85	17.8	17	5563	53	5357
"SUNY College at Fredonia"	"No"	4877	2798	814	13	48	4123	298	6550	4420	620	1481	82	90	16.3	10	6442	66	4421
"SUNY College at Geneseo"	"No"	8598	4562	1143	56	93	5060	146	6550	4170	600	650	79	84	19.1	25	5716	76	5206
"SUNY College at New Paltz"	"No"	8399	3609	656	19	53	4658	1478	6550	4240	550	1500	85	93	15.3	8	6608	53	6136
"SUNY College at Plattsburgh"	"No"	5549	3583	853	9	40	5004	475	6550	4176	600	1380	80	90	17.9	16	6174	65	5479
"SUNY College at Potsdam"	"No"	3150	2289	650	16	51	3598	234	6840	4660	500	1000	71	75	15.1	17	6436	59	3832
"SUNY College at Purchase"	"No"	2119	1264	390	5	33	2478	1441	6550	4760	1125	1362	80	100	14.9	8	8170	46	3919
"Syracuse University"	"Yes"	10477	7260	2442	28	67	10142	117	15150	6870	635	960	73	84	11.3	13	14231	67	10259
"Texas A&M Univ. at College Station"	"No"	14474	10519	6392	49	85	31643	2798	5130	3412	600	2144	89	91	23.1	29	8471	69	34441
"Texas Christian University"	"Yes"	4095	3079	1195	33	64	5064	660	8490	3320	650	2400	81	93	14.8	23	9158	64	5724
"Texas Southern University"	"No"	4345	3245	2604	15	85	5584	3101	7860	3360	600	1700	65	75	18.2	21	3605	10	8685
"The Citadel"	"No"	1500	1242	611	12	36	2024	292	7070	2439	400	779	95	94	17.1	17	7744	84	2316
"Trenton State College"	"No"	5042	2312	944	55	94	5167	902	5391	5411	700	1000	81	87	14.4	6	8504	81	6069
"Trinity University"	"Yes"	2425	1818	601	62	93	2110	95	12240	5150	500	490	94	96	9.6	20	14703	93	2205
"Tulane University"	"Yes"	7033	5125	1223	47	75	4941	1534	19040	5950	350	800	98	98	9.1	21	16920	74	6475
"Tuskegee University"	"Yes"	2267	1827	611	20	59	2825	144	6735	3395	600	1425	70	74	12.2	7	10872	65	2969
"Univ. of Wisconsin at OshKosh"	"No"	4800	2900	1515	14	48	7764	1472	6874	2394	518	1890	73	78	19.2	14	5901	56	9236
"University of Alabama at Birmingham"	"No"	1797	1260	938	24	35	6960	4698	4440	5175	750	2200	96	96	6.7	16	16352	33	11658
"University of Arkansas at Fayetteville"	"No"	3235	3108	2133	25	65	9978	1530	5028	3300	500	2000	73	89	14.8	10	6820	39	11508
"University of California at Berkeley"	"No"	19873	8252	3215	95	100	19532	2061	11648	6246	636	1933	93	97	15.8	10	13919	78	21593
"University of California at Irvine"	"No"	15698	10775	2478	85	100	12677	864	12024	5302	790	1818	96	96	16.1	11	15934	66	13541
"University of Central Florida"	"No"	6986	2959	1918	25	60	12330	7152	6618	4234	700	1600	80	98	22.2	9	6742	46	19482
"University of Chicago"	"Yes"	6348	2999	922	68	94	3340	39	18930	6380	500	1254	99	99	5.3	36	36854	90	3379
"University of Cincinnati"	"No"	6855	5553	2408	26	57	11036	2011	8907	4697	556	1851	89	95	10.8	6	13889	54	13047
"University of Connecticut at Storrs"	"No"	9735	7187	2064	23	63	12478	1660	11656	5072	700	2300	89	95	16	16	10178	71	14138
"University of Dayton"	"Yes"	6361	5293	1507	26	51	5889	665	11380	4220	500	900	81	85	14.8	25	8894	93	6554
"University of Delaware"	"Yes"	14446	10516	3252	22	57	14130	4522	10220	4230	530	1300	82	87	18.3	15	10650	75	18652
"University of Denver"	"Yes"	2974	2001	580	29	60	2666	554	15192	4695	400	1350	84	91	15.9	21	11762	67	3220
"University of Detroit Mercy"	"Yes"	927	731	415	24	50	2149	2217	11130	3996	600	2166	72	79	13.5	14	10891	51	4366
"University of Evansville"	"Yes"	2096	1626	694	35	67	2551	407	11800	4340	700	960	60	81	15.8	26	7780	77	2958
"University of Florida"	"No"	12445	8836	3623	54	85	24470	3286	7090	4180	630	1530	88	97	13.4	20	14737	66	27756
"University of Georgia"	"No"	11220	7871	3320	43	79	19553	2748	5697	3600	525	1755	88	95	14.7	22	7881	63	22301
"University of Hartford"	"Yes"	5081	4040	1194	11	26	3768	1415	14220	6000	500	1440	61	76	10.7	9	10625	66	5183
"University of Hawaii at Manoa"	"No"	3580	2603	1627	36	69	11028	2411	4460	3038	687	1281	85	87	11.8	6	12833	54	13439
"University of Illinois - Urbana"	"No"	14939	11652	5705	52	88	25422	911	7560	4574	500	1982	87	90	17.4	13	8559	81	26333
"University of Illinois at Chicago"	"No"	8384	5727	2710	22	50	13518	2916	7230	5088	630	3228	82	84	10	6	13883	34	16434
"University of Indianapolis"	"Yes"	1487	1276	388	26	51	1417	1646	11120	4080	525	1405	55	56	11.1	23	6735	69	3063
"University of Kansas"	"No"	8579	5561	3681	25	50	17880	1673	6994	3384	700	2681	88	94	13.7	17	9657	57	19553
"University of La Verne"	"Yes"	1597	969	226	16	38	1431	1522	13540	5050	630	2298	66	68	14.1	23	10139	47	2953
"University of Louisville"	"No"	4777	3057	1823	16	33	9844	6198	6540	3600	530	2440	84	92	11.1	24	10207	31	16042
"University of Maine at Farmington"	"No"	1208	803	438	20	48	1906	344	6810	3970	450	1647	67	75	15.9	26	5712	59	2250
"University of Maryland at Baltimore County"	"No"	4269	2594	985	27	57	6476	2592	8594	4408	494	2768	82	88	18.4	6	7618	55	9068
"University of Maryland at College Park"	"No"	14292	10315	3409	22	53	19340	3991	8723	5146	550	1550	89	92	18.1	12	9021	63	23331
"University of Massachusetts at Amherst"	"No"	14438	12414	3816	12	39	16282	1940	8566	3897	500	1400	88	92	16.7	15	10276	68	18222
"University of Massachusetts at Dartmouth"	"No"	3347	2597	1006	10	37	4664	1630	6919	4500	500	1250	74	90	15	20	7462	56	6294
"University of Miami"	"Yes"	7122	5386	1643	42	69	7760	876	16500	6526	630	1985	82	94	5.9	17	17500	59	8636
"University of Michigan at Ann Arbor"	"No"	19152	12940	4893	66	92	22045	1339	15732	4659	476	1600	90	98	11.5	26	14847	87	23384
"University of Minnesota at Duluth"	"No"	4192	3126	1656	15	45	5887	1254	8828	3474	753	2610	79	91	19	11	6393	53	7141
"University of Minnesota Twin Cities"	"No"	11054	6397	3524	26	55	16502	21836	8949	3744	714	2910	88	90	12.2	37	16122	45	38338
"University of Mississippi"	"No"	3844	3383	1669	26	47	7524	804	4916	3810	600	550	81	86	20.3	14	6971	53	8328
"University of Missouri at Columbia"	"No"	6574	4637	2940	32	62	14782	1583	9057	3485	600	1983	87	87	12.7	15	10145	58	16365
"University of Missouri at Rolla"	"No"	1877	1826	823	49	77	3926	561	9057	3600	700	1435	88	88	14.4	23	9699	49	4487
"University of Missouri at Saint Louis"	"No"	1618	1141	479	18	54	4793	4552	7246	3964	500	4288	71	73	13.4	15	6433	48	9345
"University of Montevallo"	"No"	1351	892	570	18	78	2385	331	4440	3030	300	600	72	72	18.9	8	5883	51	2716
"University of Nebraska at Lincoln"	"No"	6277	6003	3526	33	63	16454	3171	5595	3145	500	2070	86	92	15.1	48	6813	53	19625
"University of New Hampshire"	"No"	9750	7640	2529	24	62	10358	1338	11180	3862	650	2450	89	87	17.5	16	7855	75	11696
"University of North Carolina at Asheville"	"No"	1757	979	394	32	74	2033	1078	5972	3420	600	750	77	83	13	11	7011	37	3111
"University of North Carolina at Chapel Hill"	"No"	14596	5985	3331	75	92	14609	1100	8400	4200	550	1200	88	93	8.9	23	15893	83	15709
"University of North Carolina at Charlotte"	"No"	5803	4441	1730	19	62	10099	3255	7248	3109	600	1900	79	91	16.8	7	6227	62	13354
"University of North Carolina at Greensboro"	"No"	5191	4134	1500	15	44	7532	1847	8677	3505	600	1300	75	94	15.5	17	7392	53	9379
"University of North Carolina at Wilmington"	"No"	6071	3856	1449	15	67	6635	1145	7558	3680	500	1500	82	85	19.1	15	6005	55	7780
"University of North Dakota"	"No"	2777	2249	1652	20	54	8334	1435	5634	2703	450	1200	97	97	15.9	16	9424	49	9769
"University of North Florida"	"No"	1800	1253	560	44	85	3876	3588	6634	4360	600	2604	82	85	17.8	14	6104	47	7464
"University of North Texas"	"No"	4418	2737	2049	23	51	14047	5134	4104	3579	450	1700	86	94	22.6	6	5657	35	19181
"University of Northern Colorado"	"No"	5530	4007	1697	12	37	8463	1498	7731	4128	540	2286	75	75	21.5	8	6309	40	9961
"University of Northern Iowa"	"No"	4144	3379	1853	18	52	10135	1448	6197	2930	595	2380	78	82	16.3	26	6333	77	11583
"University of Notre Dame"	"Yes"	7700	3700	1906	79	96	7671	30	16850	4400	600	1350	96	92	13.1	46	13936	97	7701
"University of Oklahoma"	"No"	4743	3970	2233	32	63	13436	2582	5173	3526	765	3176	86	90	11.5	11	10244	44	16018
"University of Oregon"	"No"	8631	6732	2546	25	61	11669	1605	10602	3660	570	1530	79	87	19.7	13	8020	54	13274
"University of Pennsylvania"	"Yes"	12394	5232	2464	85	100	9205	531	17020	7270	500	1544	95	96	6.3	38	25765	93	9736
"University of Pittsburgh-Main Campus"	"No"	8586	6383	2503	25	59	13138	4289	10786	4560	400	900	93	93	7.8	10	13789	66	17427
"University of Portland"	"Yes"	1758	1485	419	27	58	2041	174	12040	4100	600	1100	92	96	13.2	17	9060	72	2215
"University of Puget Sound"	"Yes"	4044	2826	688	51	83	2738	138	16230	4500	630	1800	79	86	15	17	11217	63	2876
"University of Rhode Island"	"No"	9643	7751	1968	12	40	8894	2456	10330	5558	500	1250	84	89	16.6	7	9158	63	11350
"University of Richmond"	"Yes"	5892	2718	756	46	72	2854	594	14500	3285	700	1125	75	89	11.7	32	11984	100	3448
"University of Rochester"	"Yes"	8766	5498	1243	56	75	5071	438	17840	6582	500	882	93	99	5.9	23	26037	80	5509
"University of San Diego"	"Yes"	3934	2735	886	40	70	3698	217	13600	5940	630	1820	93	96	15.6	13	10813	66	3915
"University of San Francisco"	"Yes"	2306	1721	538	23	48	4309	549	13226	6452	750	2450	86	86	13.6	8	10074	62	4858
"University of Scranton"	"Yes"	4471	2942	910	29	60	3674	493	11584	5986	650	800	83	83	14.1	41	9131	92	4167
"University of South Carolina at Aiken"	"No"	848	560	377	14	24	1855	1412	5800	3066	500	1500	62	62	14.8	3	5035	48	3267
"University of South Carolina at Columbia"	"No"	7693	5815	2328	30	66	12594	3661	8074	3522	495	2941	84	88	16.9	18	8246	63	16255
"University of South Florida"	"No"	7589	4676	1876	29	63	14770	10962	6760	3776	500	2180	84	89	17	7	11020	47	25732
"University of Southern California"	"Yes"	12229	8498	2477	45	71	13259	1429	17230	6482	600	2210	90	94	11.4	10	17007	68	14688
"University of Southern Colorado"	"No"	1401	1239	605	10	34	3716	675	7100	4380	540	2948	63	88	19.4	0	5389	36	4391
"University of Southern Indiana"	"No"	2379	2133	1292	8	25	4283	2973	4973	3192	500	1425	56	65	22	21	4078	38	7256
"University of Southern Mississippi"	"No"	2850	2044	1046	20	50	9260	1387	4652	2470	500	500	78	99	18.7	23	5917	45	10647
"University of St. Thomas MN"	"Yes"	2057	1807	828	26	53	4106	982	11712	4037	500	800	80	80	13.8	13	8546	89	5088
"University of Tennessee at Knoxville"	"No"	7473	5372	3013	27	53	15749	3237	5764	3262	750	3300	86	92	16.5	22	8612	53	18986
"University of Texas at Arlington"	"No"	3281	2559	1448	19	43	10975	8431	4422	2780	500	2850	73	73	21	4	4696	29	19406
"University of Texas at Austin"	"No"	14752	9572	5329	48	85	30017	5189	5130	3309	650	3140	91	99	19.7	11	7837	65	35206
"University of Texas at San Antonio"	"No"	4217	3100	1686	17	46	9375	5457	4104	5376	452	1200	94	100	25.3	3	4329	50	14832
"University of the Pacific"	"Yes"	2459	1997	582	36	66	2664	299	16320	5326	646	1171	87	94	11.2	14	13706	65	2963
"University of Tulsa"	"Yes"	1712	1557	696	41	68	2936	433	11750	4160	1200	2350	94	96	11.5	10	11743	47	3369
"University of Utah"	"No"	5095	4491	2400	27	53	13894	8374	6857	3975	858	3093	89	93	12.8	9	9275	37	22268
"University of Vermont"	"No"	7663	6008	1735	18	51	7353	1674	15516	4928	500	990	87	90	9.9	10	12646	79	9027
"University of Virginia"	"No"	15849	5384	2678	74	95	11278	114	12212	3792	500	1000	90	92	9.5	22	13597	95	11392
"University of Washington"	"No"	12749	7025	3343	40	81	20356	4582	8199	4218	708	2172	96	94	9	10	16527	65	24938
"University of West Florida"	"No"	1558	1254	472	20	57	3754	2477	6172	3994	541	1387	83	87	23.4	12	8488	53	6231
"University of Wisconsin-Stout"	"No"	2593	1966	1030	9	32	6038	579	6704	2592	376	1750	78	78	21	17	6254	65	6617
"University of Wisconsin-Whitewater"	"No"	4400	3719	1472	12	38	7804	1552	6950	2500	300	1200	90	95	23.1	16	5559	67	9356
"University of Wisconsin at Green Bay"	"No"	2409	1939	759	17	50	3819	1347	6900	2800	475	1200	81	89	22.2	1	5968	46	5166
"University of Wisconsin at Madison"	"No"	14901	10932	4631	36	80	23945	2200	9096	4290	535	1545	93	96	11.5	20	11006	72	26145
"University of Wisconsin at Milwaukee"	"No"	5244	3782	1930	12	37	11561	7443	8786	2964	570	1980	79	87	15.9	8	8094	38	19004
"University of Wyoming"	"No"	2029	1516	1073	23	46	7535	1488	5988	3422	600	1500	91	94	15.1	13	8745	45	9023
"Upper Iowa University"	"Yes"	663	452	192	10	35	1481	1160	8840	3060	500	1000	69	75	17.4	19	3733	78	2641
"Valparaiso University"	"Yes"	2075	1727	520	49	81	2501	198	11800	3260	500	800	87	89	14.2	23	9681	95	2699
"Vanderbilt University"	"Yes"	7791	4690	1499	71	92	5500	90	17865	6525	630	952	93	98	5.8	26	23850	83	5590
"Vassar College"	"Yes"	3550	1877	653	53	87	2164	77	18920	5950	600	800	90	98	9.7	39	17089	90	2241
"Villanova University"	"Yes"	7759	5588	1477	30	68	6362	1292	15925	6507	400	300	89	90	13.4	24	10458	96	7654
"Virginia Commonwealth University"	"No"	4963	3497	1567	18	45	10262	5065	10217	4182	500	3630	81	87	8.7	11	11183	45	15327
"Virginia State University"	"No"	2996	2440	704	2	30	3006	338	5587	4845	500	600	61	63	16	11	5733	31	3344
"Virginia Tech"	"No"	15712	11719	4277	29	53	18511	604	10260	3176	740	2200	85	89	13.8	20	8944	73	19115
"Wake Forest University"	"Yes"	5661	2392	903	75	88	3499	172	13850	4360	500	1250	95	97	4.3	37	41766	89	3671
"Washington State University"	"No"	6540	5839	2440	31	70	14445	1344	8200	4210	800	2719	84	87	16.9	30	10912	56	15789
"Washington University"	"Yes"	7654	5259	1254	62	93	4879	1274	18350	5775	768	1512	91	98	3.9	31	45702	90	6153
"Wayne State College"	"No"	1373	1373	724	6	21	2754	474	2700	2660	540	1660	60	68	20.3	29	4550	52	3228
"Webster University"	"Yes"	665	462	226	17	44	1739	1550	9160	4340	500	500	68	68	20.6	14	6951	48	3289
"Wellesley College"	"Yes"	2895	1249	579	80	96	2195	156	18345	5995	500	700	94	98	10.6	51	21409	91	2351
"Wentworth Institute of Technology"	"Yes"	1480	1257	452	6	25	2961	572	9850	6050	850	920	10	68	15.4	8	17858	64	3533
"Wesleyan University"	"Yes"	4772	1973	712	60	86	2714	27	19130	5600	1400	1400	90	94	12.1	39	16262	92	2741
"West Chester University of Penn."	"No"	6502	3539	1372	11	51	7484	1904	7844	4108	400	2000	76	79	15.3	16	6773	52	9388
"West Liberty State College"	"No"	1164	1062	478	12	25	2138	227	4470	2890	600	1210	33	33	16.3	10	4249	60	2365
"Western Carolina University"	"No"	3224	2519	1057	11	31	5000	706	6390	2380	110	1622	67	78	14.6	9	6554	55	5706
"Western Michigan University"	"No"	9167	7191	2738	24	53	15739	4278	6940	4100	500	1700	80	84	24.7	11	5983	55	20017
"Western New England College"	"Yes"	1650	1471	409	7	21	1803	1116	8994	5500	498	2065	74	97	15.4	15	8409	59	2919
"Western State College of Colorado"	"No"	2702	1623	604	7	24	2315	146	5918	3755	500	2050	76	79	19.4	4	4599	52	2461
"Western Washington University"	"No"	5548	3563	1549	30	71	8909	506	8124	4144	639	2385	83	89	22.7	10	7203	61	9415
"Westfield State College"	"No"	3100	2150	825	3	20	3234	941	5542	3788	500	1300	75	79	15.7	20	4222	65	4175
"Wheaton College IL"	"Yes"	1432	920	548	56	84	2200	56	11480	4200	530	1400	81	83	12.7	40	11916	85	2256
"Widener University"	"Yes"	2139	1492	502	24	64	2186	2171	12350	5370	500	1350	88	86	12.6	19	9603	63	4357
"Wilkes University"	"Yes"	1631	1431	434	15	36	1803	603	11150	5130	550	1260	78	92	13.3	24	8543	67	2406
"Winona State University"	"No"	3325	2047	1301	20	45	5800	872	4200	2700	300	1200	53	60	20.2	18	5318	58	6672
"Winthrop University"	"No"	2320	1805	769	24	61	3395	670	6400	3392	580	2150	71	80	12.8	26	6729	59	4065
"Wittenberg University"	"Yes"	1979	1739	575	42	68	1980	144	15948	4404	400	800	82	95	12.8	29	10414	78	2124
"Worcester Polytechnic Institute"	"Yes"	2768	2314	682	49	86	2802	86	15884	5370	530	730	92	94	15.2	34	10774	82	2888
"Worcester State College"	"No"	2197	1515	543	4	26	3089	2029	6797	3900	500	1200	60	60	21	14	4469	40	5118
"Xavier University"	"Yes"	1959	1805	695	24	47	2849	1107	11520	4960	600	1250	73	75	13.3	31	9189	83	3956
"Xavier University of Louisiana"	"Yes"	2097	1915	695	34	61	2793	166	6900	4200	617	781	67	75	14.4	20	8323	49	2959
"Yale University"	"Yes"	10705	2453	1317	95	99	5217	83	19840	6510	630	2115	96	96	5.8	49	40386	99	5300
"York College of Pennsylvania"	"Yes"	2989	1855	691	28	63	2988	1726	4990	3560	500	1250	75	75	18.1	28	4509	99	4714
